Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
8389	schneiden_a	schneiden, abschneiden, ausschneiden, zuschneiden	(V.) schneiden, abschneiden, zuschneiden, ausschneiden (mit der Schere)$z.B. Papier, Karton mit Schere schneiden, abschneiden	•	•	•	•	•	Schule, Verb	3	c	3
5922	schneiden_b	schneiden, Filmschnitt	(V.) schneiden (Film)$(N.) Filmschnitt	•	•	•	•	•	Medien, Nomen, Verb	3	d	3
3297	schneiden_c	schneiden, abschneiden	(V.) schneiden, abschneiden (Brot, Fleisch, Holz)	•	•	•	•	•	Essen, Schule	3	c	3
799	Schock	Schock, Erschütterung	(N.) Schock, Erschütterung, grosse Bestürzung$z.B. eine Nachricht, Meldung, Neuigkeit löst einen Schock aus	•	•	•	•	•	Nomen	2	a	3
3167	Schottland_int	Schottland	(N., Name) Schottland (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
320	schrecklich	schrecklich, furchtbar, schlimm, entsetzlich, erschreckend, scheusslich	(Adj.) schrecklich, furchtbar, schlimm, entsetzlich, erschreckend, scheusslich (Person, Sache)$z.B.$- erschreckend, diese Unordnung$- furchtbare Kleider$- schlimme Person$- schreckliche, schlimme Krankheit	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
1459	Schrift	Schrift, schriftlich	(N.) Schrift$(Adj.) schriftlich	•	•	•	•	•	Büro, Schule, Adj._Adv., Nomen	3	c	3
3304	Schublade	Schublade	(N.) Schublade	•	•	•	•	•	Haushalt, Nomen	1	b	3
3859	Schulzeugnis	Schulzeugnis	(N.) Schulzeugnis	•	•	•	•	•	Schule, Nomen	3	c	3
927	Schürze	Schürze	(N.) Schürze	•	•	•	•	•	Kleider, Nomen	2	c	3
5223	schützen	schützen, abwehren, Schutz, Abwehr	(V.) schützen, abwehre$(N.) Schutz, Abwehr	•	•	•	•	•	Nomen, Verb	1	b	3
3309	Schwamm	Schwamm, Putzschwamm	(N.) Schwamm, Putzschwamm	•	•	•	•	•	Schule, Nomen	3	c	3
4126	Schwanz_a	Schwanz	(N.) Schwanz (Tiere)$z.B. Katze, Hund, Maus$oft kombiniert: Pferdeschwanz = PFERD+SCHWANZ$Katzenschwanz = KATZE+SCHWANZ	•	•	•	•	•	Tier, Nomen	4	b	3
5946	Schwanz_b	Schwanz	(N.) Schwanz (Haare)	•	•	•	•	•	Körper, Nomen	1	a	3
2703	Schweden_int	Schweden	(N., Name) Schweden (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
112	schweigen	schweigen, verschwiegen	(V.) schweigen, nicht weitererzählen, verschwiegen sein, nichts sagen, erzählen, geheim halten, etwas bleibt unter uns, etwas für sich behalten$Dt. Redewendung: «auf den Mund sitzen», «verschwiegen sein wie ein Grab»	•	•	•	•	•	Charakter, Verb	1	c	3
2731	Sechseläuten	Sechseläuten, Sechseläutenumzug	(N.) Sechseläuten, Sechseläutenumzug	•	•	•	•	•	Feste, Nomen	3	b	3
970	Seide	Seide	(N.) Seide (Stoff)	•	•	•	•	•	Kleider, Material, Nomen	1	b	3
5944	Seitensprung	Seitensprung	(N.) Seitensprung$(V.) Seitensprung machen	•	•	•	•	•	Beziehung, Nomen, Verb	1	d	3
6271	Sekundarschule	Sekundarschule	(N.) Sekundarschule	•	•	•	•	•	Schule, Nomen	3	d	3
2428	Sekunde	Sekunde	(N.) Sekunde	•	•	•	•	•	Zeit, Nomen	3	a	3
4811	senden	senden, schicken	(V.) senden, schicken (z.B. Paket, SMS, Email)	•	•	•	•	•	Büro, Medien, Verb	2	d	3
5960	Serbien_int	Serbien	(N., Name) Serbien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
5425	Shampoo	Shampoo, shampoonieren, Haarwaschmittel	(N.) Shampoo$(V.) Haare shampoonieren, mit Shampoo waschen	•	•	•	•	•	Pflege, Nomen, Verb	2	c	3
5907	Sieb	Sieb	(N.) Sieb	•	•	•	•	•	Essen, Haushalt, Nomen	4	c	3
978	Silber_1	Silber, silbrig	(N.) Silber (Edelmetall)$(N.) Silber (Farbe)$(Adj.) silbrig, silbern	•				•	Kleider, Material, Adj._Adv., Nomen	1	b	3
5968	Silber_2	Silber, silbrig	(N.) Silber (Edelmetall)$(N.) Silber (Farbe)$(Adj.) silbrig, silbern	•			•		Material, Adj._Adv., Nomen	1	b	3
6718	Silber_3	Silber, silbrig	(N.) Silber (Edelmetall)$(N.) Silber (Farbe)$(Adj.) silbrig, silbern		•				Kleider, Material, Nomen	1	b	3
6751	Silber_4	Silber, silbrig	(N.) Silber (Edelmetall)$(N.) Silber (Farbe)$(Adj.) silbrig, silbern			•			Material, Nomen	1	b	3
5037	singen	singen	(V.) singen (für Lautsprach-Singen und Gebärdensprach-Singen)$z.B. Die Schulkinder singen ein Lied.	•	•	•	•	•	Schule, Verb	4	a	3
940	Skianzug	Skianzug	(N.) Skianzug	•	•	•	•	•	Kleider, Nomen	1	b	3
1190	Skischuhe_1	Skischuhe	(N.) Skischuhe	•			•	•	Kleider, Nomen	1	b	3
966	Skischuhe_2	Skischuhe	(N.) Skischuhe		•	•			Kleider, Nomen	1	b	3
6329	Slowakei	Slowakei	(N., Name) Slowakei (Land)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
5773	Slowenien_int	Slowenien	(N., Name) Slowenien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
930	Socken	Socken, Kniesocken	(N.) Socken, Kniesocken	•	•	•	•	•	Kleider, Nomen	1	b	3
1047	sozial	sozial	(Adj.) sozial	•	•	•	•	•	Beziehung, Charakter, Adj._Adv.	1	c	3
4184	Spanien_int	Spanien	(N., Name) Spanien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
2462	spenden	spenden, Spende, spendierfreudig, freigebig	(V.) spenden$(N.) Spende$(Adj.) spendierfreudig, freigebig	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
3126	spezial	spezial, speziell, eigen, besonders, aussergewöhnlich	(Adj.) spezial, speziell, eigen, besonders, aussergewöhnlich$Notiz: als Markierung für eine besondere Art/Kategorie (zu leben, zu sein) verglichen mit dem Durchschnitt	•	•	•	•	•	Beziehung, Körper, Adj._Adv.	1	a	3
7104	Spiegel	Spiegel	(N.) Spiegel	•	•	•	•	•	Haushalt, Nomen	2	c	3
2108	springen	springen, rennen, eilen	(V.) springen, rennen, eilen, schnell laufen$Hinweis: Diese Gebärde wird nur verwendet, wenn von einer Person die Rede ist. Der Erzähler ist dabei selber in der Rolle der Person, die springt.	•	•	•	•	•	Verb	1	a	3
5175	Stall	Stall, Scheune, Schober	(N.) Stall$(N.) Scheune, Schober	•	•	•	•	•	Tier, Nomen	4	a	3
5367	stampfen	stampfen, poltern	(V.) stampfen, poltern$(metaphorisch: Wenn eine Person wie ein Trampeltier geht, wird er mit dieser Gebärde als «Elefant» bezeichnet. Man meint damit seine laute, stampfende Gehweise und ermahnt ihn, doch etwas leiser zu gehen.)	•	•	•	•	•	Tier, Verb	1	c	3
4556	stehen	stehen	(V.) stehen	•	•	•	•	•	Verb	2	a	3
4276	stehlen	stehlen, klauen, muggen, entwenden	(V.) stehlen, klauen, muggen, entwenden	•	•	•	•	•	Geld, Verb	2	a	3
1018	steif	steif, starr, unbiegsam, blockiert, unbeweglich, verkrampft	(Adj.) steif, starr, unbiegsam$(Adj.) steif, blockiert, unbeweglich, verkrampft$z.B. Meine Finger sind steif vor Kälte.	•	•	•	•	•	Charakter, Adj._Adv.	4	b	3
2274	stellen	stellen, abstellen, aufstellen, hinstellen, setzen	'(V. + N.) «etwas spezifisches stellen», aufstellen, hinstellen, setzen (einen runden Gegenstand); Sbw-Verb mit klassifizierender Handform; Handform und Handstellung der Klasse des Gegenstandes angepasst: hier, ein rundes Objekt$z.B. Trinkglas (s. Bild)'	•	•	•	•	•	Nomen, Verb	2	b	3
3611	Stiel	Stiel, Blumenstiel	(N.) Stiel, Blumenstiel	•	•	•	•	•	Nomen	1	b	3
5296	Stimme	Stimme	(N.) Stimme (Sprechorgan)$(Adv.) «mit Stimme»$(Adj.) stimmhaft, «mit Ton» (z.B. Film)	•	•	•	•	•	Medien, Adj._Adv., Nomen	3	c	3
6280	Stoff	Stoff, Gewebe, Tuch, Substanz, Material	(N.) Stoff, Gewebe, Tuch, Substanz, Material$z.B. Kleiderstoff, Stoffplan, Unterrichtsplan, Unterrichtsinhalt, Gesprächsstoff, chemische Stoffe	•	•	•	•	•	Material, Nomen	1	b	3
6359	strahlen	strahlen	(V.) strahlen$z.B.Radioaktivität, Augen	•	•	•	•	•	Körper, Verb	1	a	3
4949	Strauch	Strauch, Gebüsch, Busch, Gestrüpp	(N.) Strauch, Gebüsch, Busch, Gestrüpp	•	•	•	•	•	Nomen	3	b	3
5298	streichen	streichen, herausstreichen, löschen, annullieren	(V.) streichen, von der Liste streichen, herausstreichen, löschen, annullieren$z.B.$- von der Mannschaftsliste zwei streichen, nicht antreten lassen, herausstreichen$- aus der Terminliste gewisse Anlässe streichen	•	•	•	•	•	Verb	3	b	3
4029	streiten_a	streiten, zanken	(V.) streiten, «Streit haben», «aneinander geraten», «sich in die Haare geraten», zanken$Die DSGS kennt STREITEN nur als Verb. In der Deutschübersetzung kann es sinngemäss auch als Nomen (der Streit, Streit haben) verwendet werden.	•	•	•	•	•	Beziehung, Verb	1	d	3
5850	streiten_b	streiten, auseinandersetzen, debattieren	(V.) streiten, auseinandersetzen, debattieren (verbal)	•	•	•	•	•	Beziehung, Verb	1	d	3
4162	streng_a	streng, hart, unnachsichtig, unnachgiebig	(Adj.) streng, hart (Person, Regeln)$(Adj.) unnachsichtig, unnachgiebig (Person)	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
3149	streng_b	streng, hart, mühsam, mühselig	(Adj.) streng, hart, mühsam, mühselig(Person, Regeln, körperliche Arbeit)	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
8288	Stress_a	Stress, stressig	(N.) Stress$(Adj.) stressig, im Stress sein	•	•	•	•	•	Büro, Adj._Adv., Verb	3	b	3
6027	Stress_b	Stress, gestresst	(N.) Stress$(Adv.) Stress haben, gestresst sein	•	•	•	•	•	Büro, Adj._Adv., Nomen	3	b	3
996	stricken_1	stricken	(V.) stricken$z.B. einen Pullover stricken		•	•	•	•	Kleider, Verb	3	c	3
5995	stricken_2	stricken	(V.) stricken$z.B. einen Pullover stricken	•					Kleider, Verb	3	c	3
931	Strümpfe	Strümpfe, Seidenstrümpfe, Stumpfhosen, Nylonstrümpfe	(N.) Strümpfe, Seidenstrümpfe, Stumpfhosen, Nylonstrümpfe	•	•	•	•	•	Kleider, Nomen	1	b	3
2125	Stufe	Stufe, Niveau, Ebene, Rang, Grad, Stand	(N.) Stufe, Niveau, Ebene, Rang, Grad, Stand$z.B.$- Wasserpegel, Wasserstand$- militärischer oder akademischer Rang (Hierarchie)$- sachliche oder emotionale Ebene	•	•	•	•	•	Nomen	2	d	3
3343	stumm	stumm, sprachlos	(Adj.) stumm, sprachlos (Zustand, jmd. ist stumm)	•	•	•	•	•	Adj._Adv.	3	d	3
2421	Stunde_a	Stunde	(N., Zeitwort) Stunde	•	•	•	•	•	Zeit, Nomen	3	a	3
251	Stunde_b	Stunde	(N.) Stunde, eine Stunde, zwei Stunden, drei Stunden, vier Stunden, fünf Stunden (bis maximal fünf Stunden)$Notiz: die Anzahl der Stunden wird durch die Handform angezeigt	•	•	•	•	•	Zeit, Nomen	3	a	3
4168	stur	stur, engstirnig	(Adj.) stur, engstirnig	•	•	•	•	•	Charakter, Adj._Adv.	1	c	3
6368	Süden	Süd, südlich	(N.) Süden$(Adj.) südlich	•	•	•	•	•	Geografie, Adj._Adv., Nomen	4	c	3
7063	super	super, genial, spitze	(Adj. Interjektion) super, genial, spitze, erstklassig	•	•	•	•	•	Adj._Adv.	3	a	3
5975	Suppe_1	Suppe	(N.) Suppe$oft kombiniert: Gemüsesuppe, Tomatensuppe, Hafersuppe, Erbsensuppe etc	•		•		•	Essen, Nomen	2	b	3
5014	Suppe_2	Suppe	(N.) Suppe$oft kombiniert: Gemüsesuppe, Tomatensuppe, Hafersuppe, Erbsensuppe etc.	•	•		•		Essen, Nomen	2	b	3
6370	Süssigkeiten	Süssigkeiten	(N.) Süssigkeiten	•	•	•	•	•	Essen, Nomen	3	d	3
6371	Symbol_1	Symbol	(N.) Symbol		•	•	•	•	Nomen	2	d	3
6685	Symbol_2	Symbol	(N.) Symbol	•					Nomen	2	d	3
6374	Tabelle	Tabelle	(N.) Tabelle	•	•	•	•	•	Büro, Nomen	2	d	3
8212	Tasche_a	Tasche, Mappe, Einkaufstasche, Aktentasche, Aktenmappe	(N.) Tasche, Mappe$z.B. Plastiktasche, Papiertasche, Einkaufstasche oder Aktentasche, Aktenmappe	•	•	•	•	•	Büro, Kleider, Nomen	1	b	3
5891	Tasche_b	Tasche	(N.) Tasche (in einem Kleidungsstück)	•	•	•	•	•	Kleider, Nomen	1	b	3
9054	Taschenrechner	Taschenrechner	(N.) Taschenrechner	•	•	•	•	•	Geld, Schule, Nomen	2	a	3
5908	Tasse	Tasse	(N.) Tasse	•	•	•	•	•	Essen, Haushalt, Nomen	4	c	3
5887	Tastatur	Tastatur	(N.) Tastatur	•	•	•	•	•	Büro, Nomen	2	b	3
3353	Teigwaren	Teigwaren, Nudeln	(N.) Teigwaren, Nudeln$Notiz: ev. zusätzliche Formbeschreibung, um Art der Teigwaren zu benennen	•	•	•	•	•	Essen, Nomen	2	b	3
5988	Telefonnummer	Telefonnummer	(N.) Telefonnummer	•	•	•	•	•	Büro, Nomen	2	b	3
5880	Textlinie	Textlinie, Absatz, Textfeld	(N.) Textlinie, Absatz, Textfeld (z.B. auf einem Bildschirm)	•	•	•	•	•	Schule, Nomen	2	d	3
6809	Thema_Wechsel	Thema Wechsel	(Diskurs) Thema_Wechsel (Diskursmarkierung), neues Thema, anders Thema	•	•	•	•	•	Nomen	4	b	3
7098	Tiefkühlschrank_1	Tiefkühlschrank, Gefrierschrank	(N.) Tiefkühlschrank, Gefrierschrank		•	•	•	•	Haushalt, Nomen	2	c	3
5980	Tiefkühlschrank_2	Tiefkühlschrank, Gefrierschrank	(N.) Tiefkühlschrank, Gefrierschrank	•					Haushalt, Nomen	2	c	3
7178	Tomate_1	Tomate	(N.) Tomate	•	•	•	•	•	Essen, Nomen	4	c	3
1197	Tomate_2	Tomate	(N.) Tomate					•	Essen, Nomen	4	c	3
241	trennen_b	trennen, separieren	(V.) (sich) trennen, separieren (Dinge)$z.B. chemische Stoffe, Eigelb vom Eiweiss	•	•	•	•	•	Verb	1	d	3
4210	treu_1	treu, anhänglich, verlässlich	(Adj.) treu, anhänglich, verlässlich		•	•	•	•	Charakter, Adj._Adv.	1	c	3
5992	treu_2	treu, anhänglich, verlässlich	(Adj.) treu, anhänglich, verlässlich	•					Beziehung, Adj._Adv.	1	c	3
1482	treu_3	treu	(Adj.) treu		•	•	•	•	Beziehung, Adj._Adv.	1	c	3
5294	tropfen	tropfen	(V.) tropfen$z.B. Wasser, Regen$Notiz: auch einhändig möglich:$z.B. der Wasserhahn tropft	•	•	•	•	•	Verb	4	c	3
7266	Tschechien_int	Tschechien	(N., Name) Tschechien (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
7267	Tuch	Tuch, Lappen	(N.) Tuch, Lappen	•	•	•	•	•	Haushalt, Nomen	2	c	3
2688	Türkei_int	Türkei	(N., Name) Türkei (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
964	Turnschuhe_1	Turnschuhe, Sportschuhe	(N.) Turnschuhe, Sportschuhe			•	•	•	Kleider, Nomen	1	b	3
6735	Turnschuhe_2	Turnschuhe, Sportschuhe	(N.) Turnschuhe, Sportschuhe		•				Kleider, Nomen	1	b	3
7511	Turnschuhe_3	Turnschuhe, Sportschuhe	(N.) Turnschuhe, Sportschuhe	•					Kleider, Nomen	1	b	3
7000	über	über	(Konj.) über, über jemanden$z.B. etwas über jemanden erzählen$Nur in Kombination mit einem Nomen (oft mit PERSON)	•	•	•	•	•	Konj	1	c	3
4213	übernehmen	übernehmen	(V.) übernehmen$z.B. Arbeit	•	•	•	•	•	Verb	3	d	3
5193	Uhr	Uhr, Armbanduhr	(N.) Uhr, Armbanduhr	•	•	•	•	•	Kleider, Zeit, Nomen	1	b	3
5774	Ukraine_int	Ukraine	(N., Name) Ukraine (Land) (auch internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
840	umsonst	umsonst, vergebens, vergeblich, beschissen, enttäuscht	(Adv.) umsonst, vergebens, vergeblich, beschissen, enttäuscht	•	•	•	•	•	Adj._Adv.	1	c	3
3637	Umweg_a	Umweg	(N.) Umweg (Strassen)$z.B. einen Umweg machen, fahren, falschen Weg wählen	•	•	•	•	•	Reisen, Nomen	2	b	3
5935	Umweg_b	Umweg	(N.) Umweg$z.B. einen Umweg machen, fahren, falschen Weg wählen	•	•	•	•	•	Reisen, Nomen	3	a	3
5838	und_so_weiter_a	und so weiter, usw., etc., andere mehr	(N.) und so weiter, usw., etc., und andere mehr, und die übrigen Dingen (z.B. von einer Liste)	•	•	•	•	•	Nomen	1	d	3
1542	und_so_weiter_b	und so weiter, usw., etc., weiterfahren, fortsetzen	(V.) und so weiter, usw., etc., weiterfahren, fortsetzen	•	•	•	•	•	Verb	1	d	3
204	Unfall	Unfall, Zusammenstoss, Kollision, zusammenstossen, kollidieren	(N.) Unfall, Zusammenstoss, Kollision In der Deutschübersetzung kann es sinngemäss auch als Verb (zusammenstossen) verwendet werden.	•	•	•	•	•	Medizin, Nomen	3	d	3
8633	Ungarn	Ungarn	(N., Name) Ungarn (Land)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
5863	Ungarn_int	Ungarn	(N., Name) Ungarn (Land) (internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
4205	unglaublich	unglaublich, verrückt, unerhört	'(Adj., Interjektion) unglaublich, unerhört, verrückt$z.B. Meine Schwester hat 10 Kinder; das ist unglaublich.'	•	•	•	•	•	Adj._Adv., Interj., Ruckmeld.	1	a	3
3537	Unterleibchen	Unterleibchen, Unterhemd	(N.) Unterleibchen, Unterhemd	•	•	•	•	•	Kleider, Nomen	1	b	3
8682	Unterstützung	Unterstützung, unterstützen	(N.) Unterstützung$(V.) unterstützen, unter die Arme greifen, zu Hilfe kommen	•	•	•	•	•	Nomen	1	d	3
6744	Vanille_a_1	Vanille	(N.) Vanille (Aroma)	•	•	•	•		Essen, Nomen	4	c	3
3376	Vanille_a_2	Vanille, Vanillearoma	(N.) Vanille (Aroma)					•	Essen, Nomen	4	c	3
3677	Vanille_b	Vanille, Vanillestängel	(N.) Vanille$(N.) Vanillestängel	•	•	•	•	•	Essen, Nomen	4	c	3
1063	Vater_1	Vater, Papa	(N.) Vater, Papa	•	•		•	•	Beziehung, Nomen	1	c	3
8093	Vater_2	Vater, Papa	(N.) Vater, Papa			•			Beziehung, Nomen	1	c	3
5855	Vatikan_int	Vatikan	(N., Name) Vatikan (Land) (internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
171	Verband	Verband, Binde, verbinden, umwickeln, einbinden	(N.) Verband, Binde, Verband anlegen$(V.) verbinden, Verband anlegen, umwickeln, einbinden	•	•	•	•	•	Medizin, Nomen	2	c	3
3379	verboten	verboten, regelwidrig, untersagt, verbieten, untersagen	(Adj.) verboten, «nicht erlaubt», regelwidrig, untersagt$(V.) verbieten, untersagen$Die DSGS kennt VERBOTEN/VERBIETEN nur als Verb oder Adjektiv. In der Deutschübersetzung kann es sinngemäss auch als Nomen «das Verbot» verwendet werden.	•	•	•	•	•	Nomen, Verb	3	c	3
7289	verdauen	verdauen	(V.) verdauen, Nahrung verarbeiten (Vorgang bei der Nahrungsaufnahme)	•	•	•	•	•	Essen, Verb	4	c	3
3026	vererben	vererben, vermachen, übertragen, Vererbung	(V.) vererben, vermachen, übertragen$z.B. Eigenschaften, Krankheiten, Vermögen£(N.) Vererbung$(V.) vererben$z.B. Krankheit	•	•	•	•	•	Medizin, Verb	1	d	3
2617	verfolgen	verfolgen, nachrennen, vertreiben Verfolgung	(V.) verfolgen, nachrennen$(N.) Verfolgungsrennen (z.B. Rad-Sport)$(V.) verfolgen, vertreiben	•	•	•	•	•	Nomen, Verb	4	a	3
9030	Vergangenheit	Vergangenheit	(N.) Vergangenheit	•	•	•	•	•	Zeit, Nomen	3	c	3
5455	Verkauf	Verkauf, Absatz, Vertrieb, verkaufen, veräussern, vertreiben, feilbieten, anpreisen	(N.) Verkauf, Absatz, Vertrieb$(V.) verkaufen, veräussern, vertreiben, feilbieten, anpreisen	•	•	•	•	•	Einkaufen, Kleider, Nomen, Verb	1	b	3
761	verlaufen	verlaufen, Verlauf, Ablauf, Prozess	(V.) verlaufen$z.B. Zeit, Projekt$(N.) Verlauf, Ablauf, Prozess	•	•	•	•	•	Zeit, Nomen, Verb	3	c	3
2567	verlieren	verlieren, verloren	(V.) verlieren (Gegenstände)$(Adj.) verloren	•	•	•	•	•	Verb	2	b	3
7512	Vermögen	Vermögen	(N.) Vermögen	•	•	•	•	•	Geld, Nomen	3	c	3
5397	vernommen	vernehmen, aufschnappen, aufgeschnappt	(V.) vernehmen, aufschnappen, mitbekommen, hören$Gebärde wird meistens als Partizip in der Form des Perfekts gebraucht: «ich habe vernommen»$z.B. eine Neuigkeit, eine Information gehört haben, etwas aufgeschnappt haben, mitbekommen haben (nicht ans hören gebunden)	•	•	•	•	•	Medien, Verb	2	d	3
2507	verschenken	verschenken, weggeben, weitergeben	(V.) verschenken, weggeben, weitergeben (kostenlos)$z.B. die alten Möbel an das Brockenhaus verschenken	•	•	•	•	•	Verb	4	b	3
3066	verschwinden	verschwinden, auflösen, verschwunden, unauffindbar, verloren	(V.) verschwinden, sich in Luft auflösen$(Adj.) verschwunden, unauffindbar, verloren, in Luft aufgelöst	•	•	•	•	•	Adj._Adv., Verb	2	b	3
1017	versorgen	versorgen, aufräumen, einräumen	(V.) versorgen, aufräumen, einräumen	•	•	•	•	•	Verb	1	b	3
711	Verspätung	Verspätung	(N.) Verspätung (Verkehrsmittel)$z.B. Bahn, Flug $Formvariante: volle Handform	•	•	•	•	•	Zeit, Nomen	3	a	3
8031	verstecken	verstecken, verbergen, Versteck, versteckt, verborgen	(V.) verstecken, verberge$(N.) Versteck$(Adj.) versteckt, verborgen$z.B.$- ein verborgener Schatz$- das Kind hat sich versteckt$- er versteckt etwas vor ihr	•	•	•	•	•	Adj._Adv., Nomen, Verb	3	b	3
5039	vertrauen_a	vertrauen, Vertrauen, trauen, glauben	(V.) vertrauen, trauen, glauben, Vertrauen schenke) Vertrauen (in jemanden, etwas)$z.B. - sein Vertrauen schenken$- jemandem vertrauen	•	•	•	•	•	Beziehung, Nomen, Verb	1	d	3
1373	vertrauen_b	vertrauen, Vertrauen	(V.) vertrauen (unbegrenztes Vertrauen zu jmdm. haben)$(N.) Vertrauen (festes Überzeugtsein von der Verlässlichkeit, Zuverlässigkeit einer Person)	•	•	•	•	•	Beziehung, Nomen, Verb	1	d	3
115	verwandt	verwandt, Verwandte, Verwandtschaft	(Adj.) verwandt (familiär)$(N.) Verwandte, Verwandtschaft	•	•	•	•	•	Beziehung, Adj._Adv., Nomen	1	d	3
5851	Verzeihung	Verzeihung	(N.) Verzeihung	•	•	•	•	•	Beziehung, Nomen	1	d	3
3648	verzieren	verzieren, Verzierung, garnieren, Garnitur, Dekoration, dekorieren	(V.) verzieren, garnieren, dekoriere$(N.) Verzierung, Garnitur, Dekoration$z.B.$- einen Kuchen verzieren$- eine Garnitur zur Speise machen	•	•	•	•	•	Essen, Nomen, Verb	2	b	3
7374	Video_b	Video, Videokassette, Videogerät	(N.) Video, Videokassette, Videogerät$(V.) Videokassette ins Gerät stecken, einlegen	•	•	•	•	•	Medien, Nomen, Verb	3	d	3
10	viel_a_4	viel, unzählige, reichlich	(Adj.) viel, unzählige, reichlich	•	•	•	•	•	Adj._Adv.	3	b	3
5892	vierte_b	vierte	(Zahlwort) vierte	•	•	•	•	•	Nomen	2	b	3
9031	viertel_nach	viertel nach, nach	(Zeitwort) viertel nach, fünfzehn ab, nach (Uhrzeit)	•	•	•	•	•	Zeit	3	a	3
9033	viertel_vor	viertel vor, vor	(Zeitwort) viertel vor, fünfzehn vor, vor (Uhrzeit)	•	•	•	•	•	Zeit	3	a	3
688	voll_c	voll, aufgefüllt	(Adj.) voll, aufgefüllt (Gefäss, Behälter)	•	•	•	•	•	Adj._Adv.	4	c	3
7062	vor_allem	vor allem, hauptsächlich, insbesondere, meistens	(Adv.) vor allem, hauptsächlich, insbesondere, meistens	•	•	•	•	•	Adj._Adv.	4	a	3
143	vor_b	vor, bevor	(Adv.) vor, bevor (zeitlich)$z.B. Bevor wir mit dem Vortrag weiterfahren, informieren wir sie über eine Programmänderung.	•	•	•	•	•	Zeit, Adj._Adv.	3	a	3
5873	vornehm	vornehm, adelig	(Adj.) vornehm, adelig	•	•	•	•	•	Charakter, Haushalt, Kleider, Adj._Adv.	1	b	3
190	wachsen	wachsen, aufwachsen, Lebenslauf, Biografie	(V.) wachsen, aufwachsen, grösser werden (Mensch)$Notiz: Lebenslauf bzw. Biografie wird in der DSGS mit WACHSEN, im Sinne von «das Aufwachsen» bezeichnet.	•	•	•	•	•	Körper, Verb	3	c	3
3650	Wagen	Wagen, Handwagen, Kinderwagen, Einkaufswagen	(N.) Wagen, Handwagen, Kinderwagen, Einkaufswagen	•	•	•	•	•	Einkaufen, Nomen	2	b	3
5961	Wales_int	Wales	(N., Name) Wales (internationale Gebärde)	•	•	•	•	•	Geografie, Name, Nomen	4	d	3
3389	Wange	Wange, Backe	(N.) Wange, Backe (Gesichtsteil)	•	•	•	•	•	Körper, Nomen	4	b	3
7090	Waschlappen	Waschlappen	(N.) Waschlappen (zur Körperpflege)	•	•	•	•	•	Haushalt, Pflege, Nomen	2	c	3
5059	weben_a	weben, Weben	(V.) weben, am Webstuhl arbeiten$(N.) Weben	•	•	•	•	•	Material, Nomen, Verb	1	b	3
5840	Weben_b	Weben	(N.) Weben	•	•	•	•	•	Material, Nomen	1	b	3
5721	umsteigen_2	umsteigen, wechseln	(V.) umsteigen$(V.) wechseln	•	•	•	•	•	Reisen, Verb	3	a	3
5040	wechseln	wechseln, abwechseln, abwechselnd, alternierend, Wechsel, Umzug	(V.) wechseln, abwechseln, tauschen (Standort, Stelle, kleinere Objekte)$(Adj.) abwechselnd, alternierend, im Wechsel$(N.) Wechsel, Tausch$z.B.$- Ort, Wohnung, Arbeitsstelle wechseln$- Wohnungswechsel, Umzug$- Stellenwechsel$- Dinge abwechselnd, im Wechsel benutzen	•	•	•	•	•	Adj._Adv., Nomen, Verb	3	a	3
3863	weg	weg, fort, entfernt, verschwunden	(Adj.) weg, fort, verschwunden (endgültig) (Mensch, Sache)$z.B. er ist weg, nicht mehr in diesem Team(Befehl) geh weg! weg damit!$z.B. diese alten Bilder müssen weg, müssen entfernt werden	•	•	•	•	•	Adj._Adv.	2	a	3
3398	wegnehmen	wegnehmen, wegschnappen, entreissen	(V.) wegnehmen, wegschnappen, entreissen	•	•	•	•	•	Verb	4	d	3
8513	wegwerfen	wegwerfen, fortwerfen, entsorgen	(V.) wegwerfen, fortwerfen, entsorgen (Gegenstände)	•	•	•	•	•	Verb	1	b	3
