Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
schön	7069	schön	'(Adj.) schön   z.B. Arbeit, Idee, Wohnung'	2	a	•	•	•	•	•	7069	1
sechzehn_1	6516	'16, sechzehn'	(Zahlwort) sechzehn (16)	2	a		•			•	6516	1
sechzehn_2	8747	'16, sechzehn'	(Zahlwort) sechzehn (16)	2	a			•			8747	1
sechzehn_3	4597	'16, sechzehn'	(Zahlwort) sechzehn (16)	2	a	•			•		4597	1
siebzehn_1	6517	'17, siebzehn'	(Zahlwort) siebzehn (17)	2	a		•			•	6517	1
siebzehn_2	4598	'17, siebzehn'	(Zahlwort) siebzehn (17)	2	a	•			•		4598	1
siebzehn_3	8748	'17, siebzehn'	(Zahlwort) siebzehn (17)	2	a			•			8748	1
sprechen	326	'sprechen, reden'	'(V.) sprechen, reden (nur Lautsprache)'	2	a	•	•	•	•	•	326	1
vierzehn_1	6514	'14, vierzehn'	(Zahlwort) vierzehn (14)	2	a		•			•	6514	1
vierzehn_2	4595	'14, vierzehn'	(Zahlwort) vierzehn (14)	2	a	•			•		4595	1
vierzehn_3	8745	'14, vierzehn'	(Zahlwort) vierzehn (14)	2	a			•			8745	1
wenig_1	356	wenig	(Adj.) wenig (Mengenangabe)	2	a	•	•	•		•	356	1
wenig_2	7388	wenig	(Adj.) wenig (Mengenangabe)	2	a				•		7388	1
wer	5206	wer	(Fragewort) wer?	2	a	•	•	•	•	•	5206	1
wie_alt?	358	'wie alt?'	(Frage) wie alt? (Erwachsene)  Frage nach dem Alter eines Erwachsenen: - wie alt sind Sie? - wie alt ist er?	2	a	•	•	•	•	•	358	1
zwanzig_1	6520	'20, zwanzig'	(Zahlwort) zwanzig (20)	2	a	•	•	•		•	6520	1
zwanzig_2	7391	'20, zwanzig'	(Zahlwort) zwanzig (20)	2	a				•		7391	1
zwölf_1	6553	'12, zwölf'	(Zahlwort) zwölf (12)	2	a					•	6553	1
